#DEPT	六五最大主应力	六五最小主应力
215.00000000	3.536823942	3.11601791
215.10000000	3.538849214	3.117724288
215.20000000	3.540909769	3.119490003
215.30000000	3.542993974	3.121295496
215.40000000	3.545094604	3.12312862
215.50000000	3.547182096	3.124939654
215.60000000	3.549257718	3.12673073
215.70000000	3.551292452	3.128453036
215.80000000	3.553310856	3.130147876
215.90000000	3.555314186	3.131817356
216.00000000	3.557317644	3.13348705
216.10000000	3.55933605	3.135181887
216.20000000	3.561371103	3.136904727
216.30000000	3.563449109	3.138699835
216.40000000	3.565544753	3.14052462
216.50000000	3.567661197	3.14238441
216.60000000	3.569790618	3.144266044
216.70000000	3.571920003	3.146147626
216.80000000	3.574047085	3.148025347
216.90000000	3.576168488	3.149893521
217.00000000	3.578289215	3.151760568
217.10000000	3.580410951	3.153629324
217.20000000	3.582541736	3.155513316
217.30000000	3.584677229	3.157405245
217.40000000	3.586819878	3.159309227
217.50000000	3.588956714	3.161203438
217.60000000	3.59108368	3.163081052
217.70000000	3.593184779	3.164915144
217.80000000	3.595249693	3.166688343
217.90000000	3.597290678	3.168421275
218.00000000	3.599291922	3.170087317
218.10000000	3.601275846	3.171724201
218.20000000	3.603251223	3.173346692
218.30000000	3.605228482	3.174972344
218.40000000	3.607216005	3.176615266
218.50000000	3.609210827	3.178270473
218.60000000	3.611213242	3.17993846
218.70000000	3.613208023	3.181593589
218.80000000	3.615195755	3.183236843
218.90000000	3.617151025	3.184825428
219.00000000	3.619086111	3.18638001
219.10000000	3.62100254	3.187903153
219.20000000	3.622890075	3.189377611
219.30000000	3.624773203	3.190844616
219.40000000	3.626651437	3.192303349
219.50000000	3.628539127	3.193777981
219.60000000	3.630440731	3.195276024
219.70000000	3.632360273	3.196804267
219.80000000	3.634322733	3.198404805
219.90000000	3.636313254	3.200052616
220.00000000	3.638342321	3.201765378
220.10000000	3.640424655	3.203567909
220.20000000	3.642530237	3.20540963
220.30000000	3.644664858	3.207300305
220.40000000	3.646802671	3.209196374
220.50000000	3.648930735	3.211076028
220.60000000	3.651031842	3.21291026
220.70000000	3.653086664	3.214666484
220.80000000	3.655112777	3.216374317
220.90000000	3.657093525	3.21800567
221.00000000	3.659048599	3.219593731
221.10000000	3.66099009	3.221158874
221.20000000	3.662917617	3.222700452
221.30000000	3.664837541	3.224229184
221.40000000	3.666752293	3.225749171
221.50000000	3.668656294	3.227250995
221.60000000	3.670557886	3.228748726
221.70000000	3.672459284	3.230246098
221.80000000	3.67437181	3.23176221
221.90000000	3.676298253	3.233301774
222.00000000	3.678236063	3.234860491
222.10000000	3.680184445	3.236437026
222.20000000	3.6821216	3.237994593
222.30000000	3.684048119	3.239534184
222.40000000	3.68592862	3.240996069
222.50000000	3.687795619	3.242435117
222.60000000	3.689647718	3.243848958
222.70000000	3.691532257	3.245317521
222.80000000	3.693467273	3.246871279
222.90000000	3.695469252	3.248538098
223.00000000	3.697614714	3.250447243
223.10000000	3.699831294	3.252476523
223.20000000	3.702140737	3.254662675
223.30000000	3.704515049	3.25695842
223.40000000	3.706897082	3.259267235
223.50000000	3.709270367	3.261561305
223.60000000	3.711581375	3.263750233
223.70000000	3.713848644	3.265865323
223.80000000	3.716042957	3.267857234
223.90000000	3.718172619	3.269739981
224.00000000	3.720265888	3.271561279
224.10000000	3.722310058	3.273299656
224.20000000	3.724321613	3.274982942
224.30000000	3.72631212	3.276630664
224.40000000	3.728269064	3.278221668
224.50000000	3.730203276	3.27977424
224.60000000	3.732123105	3.281302476
224.70000000	3.734024345	3.282799259
224.80000000	3.735924395	3.284293986
224.90000000	3.737825308	3.28579013
225.00000000	3.739740233	3.28730992
225.10000000	3.741672551	3.288859084
225.20000000	3.743619931	3.290433686
225.30000000	3.745604181	3.292070622
225.40000000	3.747608325	3.293741196
225.50000000	3.749631625	3.295444166
225.60000000	3.751689882	3.297206279
225.70000000	3.753762685	3.29899301
225.80000000	3.75585169	3.30080717
225.90000000	3.757964786	3.302662114
226.00000000	3.760088646	3.304535297
226.10000000	3.762225648	3.306430748
226.20000000	3.764379144	3.308354142
226.30000000	3.766537406	3.310285637
226.40000000	3.768701082	3.312226329
226.50000000	3.770860138	3.314159235
226.60000000	3.773011063	3.316078411
226.70000000	3.775147031	3.3179723
226.80000000	3.777255048	3.319818898
226.90000000	3.779343838	3.321632966
227.00000000	3.781401096	3.323393662
227.10000000	3.783426993	3.32510126
227.20000000	3.785434614	3.326777906
227.30000000	3.787415579	3.328409396
227.40000000	3.789381417	3.330015242
227.50000000	3.791339444	3.33160783
227.60000000	3.793289837	3.333187452
227.70000000	3.795240559	3.334767601
227.80000000	3.797192458	3.336349714
227.90000000	3.799148997	3.33793966
228.00000000	3.801110721	3.339538367
228.10000000	3.803076801	3.341144432
228.20000000	3.805051873	3.342765722
228.30000000	3.807031503	3.344394721
228.40000000	3.809014886	3.346030067
228.50000000	3.810997639	3.347664322
228.60000000	3.812974719	3.349288929
228.70000000	3.814946341	3.350904247
228.80000000	3.816899235	3.352487742
228.90000000	3.818844793	3.35405874
229.00000000	3.820782106	3.355615688
229.10000000	3.822718118	3.357170376
229.20000000	3.824662854	3.358739832
229.30000000	3.826619731	3.360329871
229.40000000	3.828609345	3.36197551
229.50000000	3.830619646	3.363656293
229.60000000	3.832658455	3.365385536
229.70000000	3.83473096	3.367172083
229.80000000	3.836817997	3.368983365
229.90000000	3.838922833	3.37082495
230.00000000	3.841033628	3.37267671
230.10000000	3.843142975	3.374526044
230.20000000	3.845244963	3.376362898
230.30000000	3.847329734	3.378170493
230.40000000	3.849401763	3.379956431
230.50000000	3.851450395	3.381702569
230.60000000	3.853479091	3.383414778
230.70000000	3.855495459	3.385105997
230.80000000	3.857494361	3.386767461
230.90000000	3.859487999	3.388419939
231.00000000	3.861479533	3.390068808
231.10000000	3.863475616	3.391725405
231.20000000	3.865480609	3.39339717
231.30000000	3.867493027	3.39508158
231.40000000	3.869523108	3.396796101
231.50000000	3.87156393	3.398528949
231.60000000	3.873613853	3.400277332
231.70000000	3.875682215	3.402057198
231.80000000	3.877759038	3.403851535
231.90000000	3.879844195	3.405660136
232.00000000	3.881943767	3.407493389
232.10000000	3.88404664	3.40933233
232.20000000	3.886153232	3.41117768
232.30000000	3.888258013	3.413019995
232.40000000	3.890357416	3.414853179
232.50000000	3.892449676	3.416674214
232.60000000	3.894525934	3.418467953
232.70000000	3.896591981	3.420244281
232.80000000	3.898644278	3.421997135
232.90000000	3.900680061	3.423721774
233.00000000	3.902707505	3.425432161
233.10000000	3.90472404	3.427123889
233.20000000	3.906733367	3.428803275
233.30000000	3.90874054	3.430478961
233.40000000	3.910747083	3.432153558
233.50000000	3.912758807	3.433837017
233.60000000	3.914775019	3.435528161
233.70000000	3.916800735	3.437235596
233.80000000	3.918834948	3.438957612
233.90000000	3.920874084	3.440688092
234.00000000	3.922919546	3.442429451
234.10000000	3.924964417	3.444169827
234.20000000	3.927007797	3.445907673
234.30000000	3.929043617	3.44763256
234.40000000	3.931071688	3.449344156
234.50000000	3.933093605	3.451045186
234.60000000	3.935103464	3.452725485
234.70000000	3.937107846	3.454396348
234.80000000	3.939107705	3.456059405
234.90000000	3.941100957	3.457711058
235.00000000	3.94309279	3.459360226
235.10000000	3.945083236	3.461006958
235.20000000	3.947073184	3.462652784
235.30000000	3.949064855	3.464301533
235.40000000	3.951058447	3.465953548
235.50000000	3.953058064	3.467615924
235.60000000	3.955062091	3.469285883
235.70000000	3.957071598	3.470965289
235.80000000	3.959088835	3.472658052
235.90000000	3.961109279	3.474356361
236.00000000	3.963133468	3.476061157
236.10000000	3.965158461	3.477767353
236.20000000	3.967182415	3.479471757
236.30000000	3.969203769	3.481171656
236.40000000	3.971220379	3.482863315
236.50000000	3.973234409	3.48455048
236.60000000	3.975244689	3.486231104
236.70000000	3.977253955	3.487909936
236.80000000	3.979263761	3.489589675
236.90000000	3.981276317	3.491274178
237.00000000	3.983293895	3.492967419
237.10000000	3.985315085	3.494666959
237.20000000	3.987343244	3.496378683
237.30000000	3.989375903	3.498098301
237.40000000	3.991411398	3.499822926
237.50000000	3.99345087	3.501554572
237.60000000	3.995491109	3.503287628
237.70000000	3.997531613	3.505021221
